Action,Copy,Path,Description,Notes
Exclude,0,AppData\Local\Microsoft\olk\EbWebView\default\IndexedDB,Microsoft Outlook - Stores user and app data,!Warning - Increased app launch time and repeated sign-ins - Details: https://learn.microsoft.com/en-us/microsoft-365-apps/outlook/get-started/virtualized-desktop-infrastructure
Exclude,0,AppData\Local\Microsoft\olk\EbWebView\default\Local Storage,Microsoft Outlook - Stores user and app data,!Warning - Increased app launch time and repeated sign-ins - Details: https://learn.microsoft.com/en-us/microsoft-365-apps/outlook/get-started/virtualized-desktop-infrastructure
Exclude,0,AppData\Local\Microsoft\olk\EbWebView\default\Service Worker\CacheStorage,Microsoft Outlook - Stores cached web/JS scripts,!Warning - Slower app launches due to redownload of scripts - Details: https://learn.microsoft.com/en-us/microsoft-365-apps/outlook/get-started/virtualized-desktop-infrastructure
Exclude,0,AppData\Local\Microsoft\olk\EbWebView\default\WebStorage,Microsoft Outlook diagnostics and performance logs,Details: https://learn.microsoft.com/en-us/microsoft-365-apps/outlook/get-started/virtualized-desktop-infrastructure
Exclude,0,AppData\Local\Microsoft\olk\logs,Microsoft Outlook diagnostics and performance logs,Details: https://learn.microsoft.com/en-us/microsoft-365-apps/outlook/get-started/virtualized-desktop-infrastructure
Exclude,0,AppData\Local\Microsoft\OneNote\16.0\Backup,OneNote local backup,Safe to exclude to reduce size; may reduce ability to recover local notes from backups.
Exclude,0,AppData\Local\Microsoft\OneNote\16.0\OneNoteOfflineCache_Files,OneNote offline cache,Good candidate to exclude in VDI; notebooks may re-sync/re-download.
Exclude,0,AppData\Local\Microsoft\Terminal Server Client,RDP client settings/cache (per-user),May remove saved RDP UI state/history; usually acceptable.
Exclude,0,AppData\Local\Microsoft\TokenBroker\Cache,WAM/TokenBroker token cache,!Warning - Excluding can cause frequent re-auth prompts and increased sign-in time.
Exclude,0,AppData\Local\Microsoft\Windows\ActionCenterCache,Action Center cache,Safe; notification center history may reset.
Exclude,0,AppData\Local\Microsoft\Windows\AppCache,Windows app compatibility cache,Safe; may rebuild; can reduce profile bloat.
Exclude,0,AppData\Local\Microsoft\Windows\Burn,Windows Burn (IMAPI) cache/temp,Safe; niche impact.
Exclude,0,AppData\Local\Microsoft\Windows\DNTException,Windows per-user exceptions cache,Safe; niche impact.
Exclude,0,AppData\Local\Microsoft\Windows\Explorer,Explorer thumbnail/icon cache,Good to exclude; improves logon size; thumbnails/icons rebuild (minor delay).
Exclude,0,AppData\Local\Microsoft\Windows\GameExplorer,Legacy Game Explorer cache,Safe.
Exclude,0,AppData\Local\Microsoft\Windows\IECompatCache,IE compatibility cache,Safe; legacy browsing performance may be impacted slightly.
Exclude,0,AppData\Local\Microsoft\Windows\IECompatUaCache,IE UA compatibility cache,Safe; legacy browsing performance may be impacted slightly.
Exclude,0,AppData\Local\Microsoft\Windows\INETCache,WinINET cache (modern path),Common to exclude; prevents growth; can cause re-downloads.
Exclude,0,AppData\Local\Microsoft\Windows\Notifications,Windows notifications database/cache,Safe; users may lose notification history.
Exclude,0,AppData\Local\Microsoft\Windows\PRICache,Resource index cache for apps (PRI),Safe; app UI resources may rebuild; minor first-launch cost.
Exclude,0,AppData\Local\Microsoft\Windows\PrivacIE,IE privacy data (legacy),Safe; legacy impact only.
Exclude,0,AppData\Local\Microsoft\Windows\RoamingTiles,Start menu tile cache (legacy),Safe; start layout may rebuild.
Exclude,0,AppData\Local\Microsoft\Windows\Safety,Windows safety/maintenance cache,Safe; niche impact.
Exclude,0,AppData\Local\Microsoft\Windows\SchCache,Windows scheduler cache,Safe; niche impact.
Exclude,0,AppData\Local\Microsoft\Windows\Temporary Internet Files,WinINET temporary files (legacy),Common to exclude; prevents growth; legacy apps may re-download content.
Exclude,0,AppData\Local\Microsoft\Windows\WebCache,WinINET/legacy Edge/IE web cache (ESE DB),Common to exclude to prevent growth/corruption; can force reauth for legacy web components.
Exclude,0,AppData\Local\Microsoft\Windows\WER,Windows Error Reporting local cache,Safe; removes crash report queues.
Exclude,0,AppData\Local\OneDrive\cache,OneDrive local cache,Often excluded in non-persistent; may increase sync/rehydration time; watch Files On-Demand behavior.
Exclude,0,AppData\Local\Packages,UWP/Store app per-user data root,!Warning - Broad impact: can break UWP apps and their settings; exclude only if you do not rely on Store/UWP apps.
Exclude,0,AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\WV2Profile_tfw\Cache,Network calls cache, !Warning - Details: https://learn.microsoft.com/en-us/microsoftteams/new-teams-vdi-requirements-deploy#review-tradeoff-considerations-requiring-evaluation-and-testing-for-these-environments
Exclude,0,AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\WV2Profile_tfw\Code Cache,Code and caching of Web/JS Scripts, !Warning - Details: https://learn.microsoft.com/en-us/microsoftteams/new-teams-vdi-requirements-deploy#review-tradeoff-considerations-requiring-evaluation-and-testing-for-these-environments
Exclude,0,AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\WV2Profile_tfw\GPUCache,Microsoft Teams GPU cache, Details: https://learn.microsoft.com/en-us/microsoftteams/new-teams-vdi-requirements-deploy#recommended-for-exclusion
Exclude,0,AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\WV2Profile_tfw\IndexedDB,App and user data for web app cache, !Warning - Details: https://learn.microsoft.com/en-us/microsoftteams/new-teams-vdi-requirements-deploy#review-tradeoff-considerations-requiring-evaluation-and-testing-for-these-environments
Exclude,0,AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\WV2Profile_tfw\Service Worker\CacheStorage,Code and caching of Web/JS Scripts, !Warning - Details: https://learn.microsoft.com/en-us/microsoftteams/new-teams-vdi-requirements-deploy#review-tradeoff-considerations-requiring-evaluation-and-testing-for-these-environments
Exclude,0,AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView\WV2Profile_tfw\WebStorage,New Teams (MSIX) WebView2 web storage cache,Common to exclude to limit growth; may cause sign-in/state rehydration on first launch.
Exclude,0,AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\Logs,New Teams logs,Safe to exclude; reduces noise and profile size.
Exclude,0,AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\PerfLogs,New Teams performance logs,Safe to exclude.
Exclude,0,AppData\Local\Publishers\8wekyb3d8bbwe\TeamsSharedConfig\meeting-addin,Microsoft Outlook Teams Meeting add-in,!Warning - this could cause issues with the default meeting coordinates in the meeting templates inserted into Outlook - Details: https://learn.microsoft.com/en-us/microsoftteams/new-teams-vdi-requirements-deploy#profile-and-cache-location-for-new-teams-client
Exclude,0,AppData\Local\SquirrelTemp,Installer temp used by Squirrel-based apps,Safe/typical to exclude; reduces profile bloat; recreated as needed.
Exclude,0,AppData\Local\Sun,Java (Sun/Oracle) local data,Generally safe; may force Java components to rebuild caches.
Exclude,0,AppData\Local\VirtualStore,UAC file/registry virtualization store,May affect legacy apps writing to protected paths; excluding can break persistence for those legacy apps.
Exclude,0,AppData\Local\webex\cache,Webex cache,Safe; reduces profile growth; may slow first launch.
Exclude,0,AppData\Local\webex\wbxcache,Webex media/cache,Safe; rebuilds.
Exclude,0,AppData\Local\webex\webex64,Webex binaries/components cache,Potentially impacts Webex self-updates; usually acceptable if Webex is machine-installed/managed.
Exclude,0,AppData\LocalLow\Adobe,Adobe low-integrity cache/data,Often safe; may reset some Adobe embedded browser/cache state.
Include,3,AppData\LocalLow\Sun\Java\Deployment\security,Java deployment security (certs/exception sites),Including helps preserve Java trust settings; Copy=3 suggests copy/merge behavior per FSLogix schema.
Exclude,0,AppData\Roaming\Microsoft\Document Building Blocks,Office building blocks (Quick Parts),May remove user custom Quick Parts; only exclude if acceptable.
Exclude,0,AppData\Roaming\Microsoft\Teams\Application Cache,Teams (classic) application cache,Safe/typical to exclude; reduces profile size; content will rebuild.
Exclude,0,AppData\Roaming\Microsoft\Teams\blob_storage,Teams (classic) Chromium blob storage,Safe/typical; can reduce profile bloat; may reset some in-app state.
Exclude,0,AppData\Roaming\Microsoft\Teams\Cache,Teams (classic) cache,Safe/typical to exclude; may increase first-launch time.
Exclude,0,AppData\Roaming\Microsoft\Teams\databases,Teams (classic) local databases,More impactful; may lose persisted Teams state; usually acceptable in non-persistent VDI.
Exclude,0,AppData\Roaming\Microsoft\Teams\IndexedDB,Teams (classic) IndexedDB storage,More impactful; can reset auth/session tokens/state; expect re-login prompts.
Exclude,0,AppData\Roaming\Microsoft\Teams\Media-Stack,Teams media components/cache,Typically safe; can resolve media stack corruption; may re-download components.
Exclude,0,AppData\Roaming\Microsoft\Teams\Service Worker\CacheStorage,Teams service worker cache storage,Safe to exclude; may increase first-load time.
Exclude,0,AppData\Roaming\Microsoft\Teams\Service Worker\ScriptCache,Teams service worker script cache,Safe to exclude.
Exclude,0,AppData\Roaming\Microsoft\Templates\LiveContent,Office template live content cache,Safe; templates may re-download.
Exclude,0,AppData\Roaming\Sun\Java\Deployment\cache,Java deployment cache,Safe; reduces roaming bloat; applets/WebStart (legacy) may re-download.
Include,3,AppData\LocalLow\Sun\Java\Deployment\security,Java Security Folder,Include it to allow legacy Java settings to roam for users
